Advert ID	Title	LGA	Locality	Description	Newspaper	Advert Date	Expiry Date	Longtitude	Latitiude	HTML	Cluster Id	Date	Comments
406062074	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	BOGAN SHIRE COUNCIL,WARREN SHIRE COUNCIL	EENAWEENA, MULLENGUDGERY, MULLA, NYNGAN	Crown and unformed council roads at Mullengudgery, within and/or adjoining the properties known as "Mullengudgery Station", "Narah", "Nullarbor" and "Mullengudgen", with the addresses of 809 Mullengudgery Road and 13789 Mitchell Highway; and adjoining the property Eudora at 866 Buddabadah Road (Cluster 565750 File Ref:16/04224).	Nyngan Observer	20 July 2016	17 August 2016	147.5020515	-31.50213589	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Marthaguy; being those within and adjoining the properties &quot;Wyndabyne&quot; 6123 Marthaguy Road; &quot;Merenele&quot; 5289 Marthaguy Road; two unnamed properties that adjoin north of Merenele, south of Bonnie Doon; the property that adjoins west- southwest of &quot;Beltana&quot;, and roads adjoining the property &quot;Nanghen&quot; 863 Rothsay Road (Cluster 562141 File Ref: 16/00171).&nbsp; </p> </li> <li><p>Crown and unformed council roads at Mullengudgery, within and/or adjoining the properties known as &quot;Mullengudgery Station&quot;, &quot;Narah&quot;, &quot;Nullarbor&quot; and &quot;Mullengudgen&quot;, with the addresses of 809 Mullengudgery Road and 13789 Mitchell Highway; and adjoining the property Eudora at 866 Buddabadah Road (Cluster 565750 File Ref:16/04224).&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Kiersten McNee by email at kiersten.mcnee@crownland.nsw.gov.au or on T:02 6640 3926 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406062078	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	TWEED SHIRE COUNCIL	TYALGUM, TYALGUM CREEK, LIMPINWOOD	Crown and Council roads at Tyalgum Creek, within and adjoining the property at 24 Hoggs Road, Tyalgum Creek; within the property at 999 Limpinwood Road, Tyalgum; within the property at 9 Charbray Place, Tyalgum; and within the property at 1562 Tyalgum Road, Tyalgum (File GF05H843:CL568594)	Tweed Daily News	20 July 2016	17 August 2016	153.2084653	-28.35865607	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown and Council roads at Tyalgum Creek, within and adjoining the property at 24 Hoggs Road, Tyalgum Creek; within the property at 999 Limpinwood Road, Tyalgum; within the property at 9 Charbray Place, Tyalgum; and within the property at 1562 Tyalgum Road, Tyalgum (File GF05H843:CL568594)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Stephen Houlahan by email at Steve.Houlahan@crownland.nsw.gov.au or on T:02 6640 3908 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406062081	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	SINGLETON SHIRE COUNCIL	SINGLETON MILITARY AREA, MOUNT THORLEY	Crown road in Mount Thorley, bounded by Broke Road to the west, Singleton Military Area to the east and Golden Highway to the north (Cluster 568961, File Ref: 16/04535)	Singleton Argus	20 July 2016	17 August 2016	151.1876632	-32.69489959	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown road in Mount Thorley, bounded by Broke Road to the west, Singleton Military Area to the east and Golden Highway to the north (Cluster 568961, File Ref: 16/04535)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Jodie Tersteeg by email at jodie.tersteeg@crownland.nsw.gov.au or on T:(02) 4920 5060 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406158472	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	HILLTOPS COUNCIL	REIDS FLAT	Crown roads at Reids Flat; being those located within property at 2974 Taylors Flat Road and the adjoining property to the north, west off Taylors Flat Road and opposite Battery Crossing Road (CL 566170 - File 16/02664)	Boorowa News	21 July 2016	18 August 2016	149.0098277	-34.13301071	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Reids Flat; being those located within property at 2974 Taylors Flat Road and the adjoining property to the north, west off Taylors Flat Road and opposite Battery Crossing Road (CL 566170 - File 16/02664)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Adelaide Carey by email at Adelaide.Carey@crownland.nsw.gov.au or on T:02 6640 3940 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406158475	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	HILLTOPS COUNCIL	GALONG, CUNNINGAR	Crown roads at Galong; those within and/or adjoining the properties known as ¿Rocky Grounds¿ at 3212 Burley Griffin Way, east of Rocky Ponds Creek and west of the property ¿Windouran¿, and including road adjoining lots that adjoin northeast of the junction of Galong Road and Eubindal Road (CL 566324 - File 16/02692)	Harden Murrumburrah Express	21 July 2016	18 August 2016	148.557446	-34.60123131	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Galong; those within and/or adjoining the properties known as Â¿Rocky GroundsÂ¿ at 3212 Burley Griffin Way, east of Rocky Ponds Creek and west of the property Â¿WindouranÂ¿, and including road adjoining lots that adjoin northeast of the junction of Galong Road and Eubindal Road (CL 566324 - File 16/02692)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Adelaide Carey by email at Adelaide.Carey@crownland.nsw.gov.au or on T:02 6640 3940 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406255846	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	HILLTOPS COUNCIL	YOUNG	Crown roads in Young, south of Murringo Road, within and adjoining the property at 3393 Murringo Road (Cluster 569269, File Ref: 10/14479).	Young Witness	22 July 2016	19 August 2016	148.2955297	-34.31345773	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads in Young, south of Murringo Road, within and adjoining the property at 3393 Murringo Road (Cluster 569269, File Ref: 10/14479).&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Lisa Ignatavicius by email at lisa.ignatavicius@crownland.nsw.gov.au or on T:02 4920 5077 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406784260	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	COFFS HARBOUR CITY COUNCIL	WOOLGOOLGA	Crown Road at Woolgoolga, within the property at Lot 2030 DP 1163949 directly south of 210 Newmans Road and west of Gresham Drive, between Newmans Road and the new Pacific Highway. CL 506219 File Ref 07/4230.	Coffs Harbour Advocate	27 July 2016	24 August 2016	153.1952803	-30.11170866	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown Road at Woolgoolga, within the property at Lot 2030 DP 1163949 directly south of 210 Newmans Road and west of Gresham Drive, between Newmans Road and the new Pacific Highway. CL 506219 File Ref 07/4230.&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Cheryl Thorley by email at Cheryl.Thorley@crownland.nsw.gov.au or on T:02 6640 3943 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
406878002	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	QUEANBEYAN-PALERANG REGIONAL COUNCIL	BACK CREEK	Crown road within Lot 4 DP 778448 at 1100 Back Creek Road, Back Creek and Crown road adjoining Lot 4 DP 755949 at 1307 Back Creek Road, Back Creek.  (CL 569631; File Ref: 16/05849)  Case Officer:  Brennan Farrell	Canberra Times	30 July 2016	27 August 2016	153.1709284	-28.4048055	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown road within Lot 4 DP 778448 at 1100 Back Creek Road, Back Creek and Crown road adjoining Lot 4 DP 755949 at 1307 Back Creek Road, Back Creek.&nbsp; (CL 569631; File Ref: 16/05849)&nbsp; Case Officer:&nbsp; Brennan Farrell&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Brennan Farrell by email at brennan.farrell@crownland.nsw.gov.au or on T: quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
407169862	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	SNOWY VALLEYS COUNCIL	TUMBARUMBA	Crown roads at Tumbarumba bounded by Power Street to the south and west and Pound Creek Road to the north (Cluster 556536, File Ref:15/11235)	Tumbarumba Times	03 August 2016	31 August 2016	148.0158258	-35.77797253	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Tumbarumba bounded by Power Street to the south and west and Pound Creek Road to the north (Cluster 556536, File Ref:15/11235)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Jonathan Pope by email at jonathan.pope@crownland.nsw.gov.au or on T:02 4920 5075 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
407169865	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	SNOWY MONARO REGIONAL COUNCIL	BADJA, PEAK VIEW	Roads at Peak View within and adjoining properties of 107, 238, 470 Pollys Gully Road, 1414 Peak View Road ,175 Tumbledown Road and south of Cowra Creek (File ref 15/09112:562359)	Cooma-Monaro Post	03 August 2016	31 August 2016	149.5335284	-36.04894972	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Roads at Peak View within and adjoining properties of 107, 238, 470 Pollys Gully Road, 1414 Peak View Road ,175 Tumbledown Road and south of Cowra Creek (File ref 15/09112:562359)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Patricia Winn by email at patricia.winn@crownland.nsw.gov.au or on T:02 4925 4152 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
407169868	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	SNOWY MONARO REGIONAL COUNCIL	COOMA	Crown Road at Cooma, within the property at 1-5 Fachin Ave (File Ref 16/05981 Cluster 569787) Case Officer Mandy Ade	Canberra Times	03 August 2016	31 August 2016	149.187686	-36.37185892	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown Road at Cooma, within the property at 1-5 Fachin Ave (File Ref 16/05981 Cluster 569787) Case Officer Mandy Ade&nbsp; </p> </li> <li><p>Crown road at Bywong, adjoining the properties at 117 &amp; 119 Creekborough Road (File Ref 16/05998 Cluster 569825) Case Officer Mandy Ade&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Mandy Ade by email at mandy.ade@crownland.nsw.gov.au or on T: quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
407169868	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	QUEANBEYAN-PALERANG REGIONAL COUNCIL	BYWONG	Crown road at Bywong, adjoining the properties at 117 & 119 Creekborough Road (File Ref 16/05998 Cluster 569825) Case Officer Mandy Ade	Canberra Times	03 August 2016	31 August 2016	149.3250596	-35.16464566	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown Road at Cooma, within the property at 1-5 Fachin Ave (File Ref 16/05981 Cluster 569787) Case Officer Mandy Ade&nbsp; </p> </li> <li><p>Crown road at Bywong, adjoining the properties at 117 &amp; 119 Creekborough Road (File Ref 16/05998 Cluster 569825) Case Officer Mandy Ade&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Mandy Ade by email at mandy.ade@crownland.nsw.gov.au or on T: quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
408206492	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	WINGECARRIBEE SHIRE COUNCIL	COLO VALE, HILL TOP	Crown roads at Colo Vale within the properties bounded by Grevillea Place to the east, Colo Road to the south and Bargo State Conservation Area to the west and north. File Ref: 16/05682, Cluster 569247	Southern Highland News	10 August 2016	07 September 2016	150.4868006	-34.39949385	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Colo Vale within the properties bounded by Grevillea Place to the east, Colo Road to the south and Bargo State Conservation Area to the west and north. File Ref: 16/05682, Cluster 569247&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to Department of Industry - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Lara Stone by email at Lara.Stone@crownland.nsw.gov.au or on T:02 6640 3920 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
408206495	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	SNOWY MONARO REGIONAL COUNCIL	MERRIANGAAH	Crown roads at Merriangaah, within and adjoining Lot 3 DP756844 & Lot 2 DP756844  (File Ref 16/06000  Cluster 569829) Case Officer Mandy Ade	Canberra Times	10 August 2016	07 September 2016	149.0305799	-36.81492768	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Merriangaah, within and adjoining Lot 3 DP756844 &amp; Lot 2 DP756844&nbsp; (File Ref 16/06000&nbsp; Cluster 569829) Case Officer Mandy Ade&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to Department of Industry - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Mandy Ade by email at mandy.ade@crownland.nsw.gov.au or on T: quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
